[2026-01-20 21:19:40,350] INFO: Found 15686 areas to scan
[2026-01-20 21:19:40,366] INFO: Worker 0 scanning area Россия (113)
[2026-01-20 21:19:40,366] INFO: Worker 1 scanning area Республика Марий Эл (1620)
[2026-01-20 21:19:40,367] INFO: Worker 2 scanning area Виловатово (4228)
[2026-01-20 21:19:40,367] INFO: Worker 3 scanning area Волжск (1621)
[2026-01-20 21:19:40,367] INFO: Worker 4 scanning area Звенигово (1622)
[2026-01-20 21:19:40,369] INFO: Worker 5 scanning area Знаменский (4229)
[2026-01-20 21:19:40,369] INFO: Worker 6 scanning area Йошкар-Ола (61)
[2026-01-20 21:19:40,370] INFO: Worker 7 scanning area Кельмаксола (4230)
[2026-01-20 21:19:41,225] INFO: Splitting range 2000-01-01-2026-01-20 into 2000-01-01-2013-01-10 and 2013-01-11-2026-01-20 (found=722503)
[2026-01-20 21:19:42,186] INFO: Worker 2 finished area Виловатово; total collected 2
[2026-01-20 21:19:42,186] INFO: Worker 2 scanning area Килемары (4231)
[2026-01-20 21:19:42,246] INFO: Worker 7 finished area Кельмаксола; total collected 3
[2026-01-20 21:19:42,246] INFO: Worker 7 scanning area Козьмодемьянск (1623)
[2026-01-20 21:19:42,427] INFO: Worker 5 finished area Знаменский; total collected 7
[2026-01-20 21:19:42,427] INFO: Worker 5 scanning area Красногорский (Республика Марий Эл) (4232)
[2026-01-20 21:19:42,807] INFO: Splitting range 2013-01-11-2026-01-20 into 2013-01-11-2019-07-17 and 2019-07-18-2026-01-20 (found=722503)
[2026-01-20 21:19:43,925] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129474359: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyD3sExK5N0vUgqYcc1lL9wjEhY
[2026-01-20 21:19:43,934] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129582184: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyBsuwtbznQ6OJtrb7sPqon32op
[2026-01-20 21:19:43,948] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129572826: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyIZsEZcQqauDz27GNrH0ds8WPk
[2026-01-20 21:19:43,955] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128605156: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyCOonS4acKme9yEwIDNBBPmOo6
[2026-01-20 21:19:44,007] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128972777: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyNuF8yRPP_huBg76eMrrwJnhcm
[2026-01-20 21:19:44,011] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129514057: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyMocqKvTHq1TNg2vTZWwCN1S-6
[2026-01-20 21:19:44,026] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129270749: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyJgbBu31slcAoH7VCOjyQ5O0Tf
[2026-01-20 21:19:44,029] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128324395: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyEYYi6qcnkM-djAU98MGwi5tmA
[2026-01-20 21:19:44,042] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129632788: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyGOEnX3nYo1apCemnRrltIjBfZ
[2026-01-20 21:19:44,046] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129510194: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyCaimLy0kkzj3gRRe4MHcylQAP
[2026-01-20 21:19:44,054] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129470274: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyJBLhRbs-7bzbIK4D-Ti8tFf_y
[2026-01-20 21:19:44,062] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129352490: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyJawwlfssw5K7vhboC86BQZ7UQ
[2026-01-20 21:19:44,065] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129602001: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyD4oQfQGBvfJQUXFFSqwUaynSp
[2026-01-20 21:19:44,076] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128098028: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyOZx7afJ2OTpgZhFVQ-sHpMM0D
[2026-01-20 21:19:44,085] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129489175: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyNnngVm1tTUxDrm5P7UinKdj6d
[2026-01-20 21:19:44,089] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129633976: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyIZ6aj8PNyoe8edCRqC9XUaDRB
[2026-01-20 21:19:44,091] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128612305: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyOaiN2xLEasgTbJRSrXvmoxbTK
[2026-01-20 21:19:44,098] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128854845: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKjFNE-Pq-MscAghgXZoqNdk1E
[2026-01-20 21:19:44,098] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129598384: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyNpCfUNiHEdH8E40fIbUHNs88m
[2026-01-20 21:19:44,102] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129259671: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyOdzOR1ec55bYZW4hCJ6ZKqkyl
[2026-01-20 21:19:44,104] INFO: Worker 4 finished area Звенигово; total collected 117
[2026-01-20 21:19:44,104] INFO: Worker 4 scanning area Краснооктябрьский (4233)
[2026-01-20 21:19:44,124] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129449829: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyBqb5jPOU_efY6j1S2Xe0KS_rQ
[2026-01-20 21:19:44,139] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127103470: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyHqZ8ULumkyx5Z14ealpG-Jufx
[2026-01-20 21:19:44,145] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129363922: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyEpA2UE7foWb-uEREpbr_Xam5D
[2026-01-20 21:19:44,146] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129309456: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyII4Qo_UdFPL1F77Kw_DmrRT7a
[2026-01-20 21:19:44,147] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129415035: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyAL9doP7wjryW_Y5NcYo08dhAp
[2026-01-20 21:19:44,150] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128080441: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyMby1537ZDsqUM_Y_ECToD9RL7
[2026-01-20 21:19:44,156] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129475124: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKdDNXs0HvBB_YTsTm0DSyqhw-
[2026-01-20 21:19:44,169] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129162810: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyGmkct0OkWXZy2-DA0Di2Ti3Zr
